month_t,cong_lag1,news_lag1,news_t,cong_t
2022-02-01,0,5,9,0
2022-03-01,0,9,6,1
2022-04-01,1,6,14,0
2022-05-01,0,14,5,1
2022-06-01,1,5,8,1
2022-07-01,1,8,27,2
2022-08-01,2,27,14,0
2022-09-01,0,14,7,0
2022-10-01,0,7,17,0
2022-11-01,0,17,7,0
2022-12-01,0,7,6,5
2023-01-01,5,6,9,1
2023-02-01,1,9,5,3
2023-03-01,3,5,15,1
2023-04-01,1,15,5,1
2023-05-01,1,5,16,1
2023-06-01,1,16,2,0
2023-07-01,0,2,6,3
2023-08-01,3,6,15,0
2023-09-01,0,15,3,1
2023-10-01,1,3,18,0
2023-11-01,0,18,8,0
2023-12-01,0,8,12,1
2024-01-01,1,12,4,0
2024-02-01,0,4,10,1
2024-03-01,1,10,2,3
2024-04-01,3,2,5,3
2024-05-01,3,5,5,2
2024-06-01,2,5,8,2
2024-07-01,2,8,6,1
2024-08-01,1,6,6,2
2024-09-01,2,6,6,0
2024-10-01,0,6,4,0
2024-11-01,0,4,9,1
2024-12-01,1,9,11,2
2025-01-01,2,11,11,7
2025-03-01,7,11,9,1
2025-04-01,1,9,6,5
2025-05-01,5,6,3,4
2025-06-01,4,3,12,1
2025-07-01,1,12,6,0
2025-08-01,0,6,16,0
2025-09-01,0,16,8,1
2025-10-01,1,8,3,1
2025-11-01,1,3,2,0
2025-12-01,0,2,11,7
